"repo_id","repo_git","commit_total"
"1","https://github.com/chaoss/augur","11496"
"25480","https://github.com/instructlab/taxonomy","287"
"25481","https://github.com/instructlab/instructlab","2037"
"25482","https://github.com/instructlab/website","219"
"25483","https://github.com/instructlab/.github","81"
"25484","https://github.com/instructlab/community","448"
"25485","https://github.com/instructlab/instructlab-bot","572"
"25486","https://github.com/instructlab/schema","75"
"25487","https://github.com/instructlab/dev-docs","137"
"25488","https://github.com/instructlab/instructlab-quantize","7"
"25489","https://github.com/instructlab/dns-zones","16"
"25490","https://github.com/instructlab/training","139"
"25491","https://github.com/instructlab/sdg","373"
"25492","https://github.com/instructlab/eval","145"
"25493","https://github.com/instructlab/ui","153"
"25494","https://github.com/instructlab/gptdolomite","8"
"25495","https://github.com/numpy/numpy","36856"
"25496","https://github.com/polarisss13/polaris","44005"
"25497","https://github.com/networkx/networkx","7769"
"25498","https://github.com/tensorflow/tensorflow","168758"
"25499","https://github.com/ml-explore/mlx","660"
"25500","https://github.com/keras-team/keras-io","1854"
"25501","https://github.com/pytorch/pytorch","77591"
"25502","https://github.com/apache/arrow","16513"
"25503","https://github.com/pandas-dev/pandas","35410"
"25504","https://github.com/tinygrad/tinygrad","5737"
"25505","https://github.com/allenai/allennlp","2719"
"25506","https://github.com/facebookresearch/fasttext","391"
"25507","https://github.com/mozilla/deepspeech","3466"
"25508","https://github.com/apache/opennlp","2169"
"25509","https://github.com/opennmt/opennmt","1685"
"25510","https://github.com/ukplab/sentence-transformers","1525"
"25511","https://github.com/huggingface/transformers","16667"
"25512","https://github.com/rare-technologies/gensim","4534"
"25513","https://github.com/cogcomp/cogcomp-nlp","2621"
"25514","https://github.com/explosion/spacy","16136"
"25515","https://github.com/nltk/nltk","14676"
"25516","https://github.com/stanfordnlp/corenlp","17258"
"25517","https://github.com/picovoice/porcupine","1222"
"25518","https://github.com/mycroftai/mycroft-core","4921"
"25519","https://github.com/laion-ai/open-assistant","3477"
"25520","https://github.com/sukeesh/jarvis","1621"
"25521","https://github.com/leon-ai/leon","1750"
"25522","https://github.com/openvoiceos/ovos-core","5645"
"25523","https://github.com/rhasspy/rhasspy","736"
"25524","https://github.com/timdettmers/bitsandbytes","774"
"25525","https://github.com/huggingface/trl","867"
"25527","https://github.com/google-deepmind/gemma","55"
"25528","https://github.com/mistralai/mistral-common","63"
"25529","https://github.com/google-research/text-to-text-transfer-transformer","599"
"25530","https://github.com/microsoft/deepspeed","2447"
"25532","https://github.com/meta-llama/llama","147"
"25533","https://github.com/huggingface/datasets","3900"
"25534","https://github.com/nvidia/nemo","6972"
"25535","https://github.com/milvus-io/milvus","20573"
"25536","https://github.com/bigscience-workshop/promptsource","755"
"25537","https://github.com/run-llama/llama_index","5033"
"25538","https://github.com/microsoft/semantic-kernel","3309"
"25539","https://github.com/automatic1111/stable-diffusion-webui","7689"
"25540","https://github.com/huggingface/peft","1077"
"25541","https://github.com/langchain-ai/langchain","11091"
"25542","https://github.com/qdrant/qdrant","3158"
"25543","https://github.com/lucidrains/imagen-pytorch","522"
"25545","https://github.com/chroma-core/chroma","1627"
"25546","https://github.com/microsoft/lora","45"
"25557","https://github.com/pola-rs/polars","10622"
